user,articleName,sectionIndex,sentenceIndex,filename,sentence,fs_span,fs_text
62ab763c2653e8005020f166,Acid catalysis,0,0,01655119426829943-2053312_0_0.mp4,"In acid catalysis and base catalysis, a chemical reaction is catalyzed by an acid or a base.","[(80, 100), (115, 173), (227, 260), (409, 432), (451, 468)]","['acid', 'catalysis', 'base', 'acid', 'base']"
62ab763c2653e8005020f166,Acid catalysis,0,1,5813571323095919-2053312_0_1.mp4,"By Brønsted–Lowry acid–base theory, the acid is the proton donor and the base is the proton acceptor.","[(64, 199), (224, 295), (336, 356)]","['Brønsted–Lowry', 'acid–base', 'acid']"
62ab763c2653e8005020f166,Acid catalysis,0,2,8261011694304976-2053312_0_2.mp4,Typical reactions catalyzed by proton transfer are esterfications and aldol reactions.,"[(220, 285), (316, 362)]","['esterfications', 'aldol']"
62ab763c2653e8005020f166,Acid catalysis,0,3,023397513349495913-2053312_0_3.mp4,"In these reactions, the conjugate acid of the carbonyl group is a better electrophile than the neutral carbonyl group itself.","[(86, 100), (105, 186), (198, 215), (259, 336), (390, 500), (585, 647)]","['the', 'conjugate', 'acid', 'carbonyl', 'electrophile', 'carbonyl']"
62ab763c2653e8005020f166,Acid catalysis,0,4,2738300105048981-2053312_0_4.mp4,"Depending on the chemical species that act as the acid or base, catalytic mechanisms can be classified as either specific catalysis and general catalysis.","[(131, 144), (169, 189), (204, 218), (243, 317), (467, 528), (611, 672)]","['act', 'acid', 'be', 'catalytic', 'catalysis', 'catalysis']"
62ab763c2653e8005020f166,Acid catalysis,0,5,025174865813132996-2053312_0_5.mp4,Many enzymes operate by specific catalysis.,"[(86, 151), (224, 285)]","['enzymes', 'catalysis']"
62ab763c2653e8005020f166,Acid catalysis,1,0,3228444759695053-2053312_1_0.mp4,Brønsted acids,"[(89, 170), (179, 208)]","['Brønsted', 'acid']"
62ab763c2653e8005020f166,Acid catalysis,1,1,6418244294655031-2053312_1_1.mp4,Acid catalysis is mainly used for organic chemical reactions.,"[(51, 68), (80, 151), (227, 263)]","['acid', 'catalysis', 'organic']"
62ab763c2653e8005020f166,Acid catalysis,1,2,41558860642783446-2053312_1_2.mp4,Many acids can function as sources for the protons.,"[(54, 71)]",['acid']
62ab763c2653e8005020f166,Acid catalysis,1,3,5931864290296387-2053312_1_3.mp4,"Acid used for acid catalysis include hydrofluoric acid (in the alkylation process), phosphoric acid, toluenesulfonic acid, polystyrene sulfonate, heteropoly acids, zeolites.","[(76, 90), (124, 144), (150, 218), (259, 359), (374, 391), (457, 509), (585, 679), (697, 714), (739, 903), (918, 938)]","['acid', 'acid', 'catalysis', 'hydrofluoric', 'acid', 'alkylation', 'phosphoric', 'acid', 'toluenesulfonic', 'acid']"
62ab763c2653e8005020f166,Acid catalysis,1,4,7300242740194613-2053312_1_4.mp4,"Strong acids catalyze the hydrolysis and  transesterification of esters, e.g. for processing fats into biodiesel.","[(80, 106), (115, 176), (195, 295), (348, 532), (540, 551), (563, 592), (787, 829)]","['acid', 'esters', 'hydrolysis', 'transesterification', 'of', 'catalyze', 'biodiesel']"
62ab763c2653e8005020f166,Acid catalysis,1,5,8724259256705351-2053312_1_5.mp4,"In terms of mechanism, the carbonyl oxygen is susceptible to protonation, which enhances the electrophilicity at the carbonyl carbon.","[(150, 170), (211, 256), (384, 439), (585, 608), (624, 647)]","['mechanism', 'carbonyl', 'protonation', 'carbonyl', 'carbon']"
62ab763c2653e8005020f166,Acid catalysis,2,0,16788563100184128-2053312_2_0.mp4,Solid acid catalysts,"[(22, 58), (76, 90), (105, 157)]","['solid', 'acid', 'catalysts']"
62ab763c2653e8005020f166,Acid catalysis,2,1,19130388400725717-2053312_2_1.mp4,"In industrial scale chemistry, many processes are catalysed by ""solid acids"".","[(172, 202), (230, 244), (252, 263)]","['catalysed', 'solid', 'acid']"
62ab763c2653e8005020f166,Acid catalysis,2,2,3803257391672137-2053312_2_2.mp4,Solid acids do not dissolve in the reaction medium.,"[(16, 42), (54, 68)]","['Solid', 'acids']"
62ab763c2653e8005020f166,Acid catalysis,2,3,8604734075361906-2053312_2_3.mp4,Such acids are used in cracking.,"[(38, 58), (124, 157)]","['acids', 'cracking']"
62ab763c2653e8005020f166,Acid catalysis,2,4,36311297413855326-2053312_2_4.mp4,"A particularly large scale application is alkylation, e.g., the combination of benzene and ethylene to give ethylbenzene.","[(163, 215), (304, 336), (361, 397), (457, 525)]","['alkylation', 'benzene', 'ethylene', 'ethylbenzene']"
62ab763c2653e8005020f166,Acid catalysis,2,5,004231509426761981-2053312_2_5.mp4,Another major application is the rearrangement of cyclohexanone oxime to caprolactam.,"[(195, 279), (294, 333), (400, 490)]","['cyclohexanone', 'oxime', 'caprolactam']"
62ab763c2653e8005020f166,Acid catalysis,2,6,12684232761711356-2053312_2_6.mp4,"Many alkylamines are prepared by amination of alcohols, catalyzed by solid acids.","[(64, 128), (185, 260), (281, 288), (320, 356), (390, 410), (419, 436)]","['alkylamines', 'amination', 'of', 'catalyzed', 'solid', 'acids']"
62ab763c2653e8005020f166,Acid catalysis,2,7,08447770446289571-2053312_2_7.mp4,"In this role, the acid converts, OH−, a poor leaving group, into a good one.","[(60, 77)]",['acid']
62ab763c2653e8005020f166,Acid catalysis,2,8,9673547290039695-2053312_2_8.mp4,"Thus acids are used to convert alcohols into other classes of compounds, such as thiols and amines.","[(64, 87), (310, 349), (364, 404)]","['acids', 'thiols', 'amines']"
62ab763c2653e8005020f166,Acid catalysis,3,0,07735492970035884-2053312_3_0.mp4,Mechanism,[],[]
